cells	labels
P0701_TTC-1_66	P
P0701_TTC-1_67	P
P0701_TTC-1_69	P
P0701_TTC-1_70	P
P0701_TTC-1_71	P
P0701_TTC-1_72	P
P0701_TTC-1_73	P
P0701_TTC-1_74	P
P0701_TTC-1_75	P
P0701_TTC-1_77	P
P0701_TTC-1_78_	P
P0701_TTC-1_79	P
P0701_TTC-1_80	P
P0701_TTC-1_81	P
P0701_TTC-1_82	P
P0701_TTC-1_83	P
P0701_TTC-1_84	P
P0701_TTC-1_87	P
P0701_TTC-1_88	P
P0701_TTC-1_89	P
P0701_TTC-1_90	P
P0701_TTC-1_92	P
P0701_TTC-1_93	P
P0701_TTC-1_94	P
P0701_TTC-1_95	P
P0701_TTC-1_96	P
P0701_TTC-2_1	P
P0701_TTC-2_3	P
P0701_TTC-2_4	P
P0701_TTC-2_5	P
P0701_TTC-2_6	P
PTC1-20161207	P
PTC1-20161212	P
PTC1-20161228	P
PTC1-20170215	P
PTC1-20170825	P
PTC1-20180123	P
PTC10-0909-ZL	P
PTC10-20161207	P
PTC10-20161212	P
PTC10-20161228	P
PTC10-20170215	P
PTC10-20170411	P
PTC10-20180123	P
PTC10-20180309	P
PTC100-20161207	P
PTC100-20161212	P
PTC100-20170413	P
PTC100-20170825	P
PTC101-20160701	P
PTC101-20161207	P
PTC101-20161212	P
PTC101-20170413	P
PTC101-20170825	P
PTC102-20160701	P
PTC102-20161207	P
PTC102-20161212	P
